Date,nom_ar,nom_fr,unite,valeur
2025-12-13 21:00:00,Point de Rosée,Point de Rosée,°c,10.7
2025-12-13 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-13 21:00:00,Pression atmosphérique,Pression atmosphérique,hPa,993.0
2025-12-13 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 19:00:00,Vitesse du vent,Vitesse du vent,m/s,0.48
2025-12-13 19:00:00,Direction du vent,Direction du vent,Deg,348.2
2025-12-13 19:00:00,Température,Température,°c,14.7
2025-12-13 19:00:00,Humidité relative,Humidité relative,%,78.1
2025-12-13 19:00:00,Point de Rosée,Point de Rosée,°c,10.9
2025-12-13 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-13 19:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.5
2025-12-13 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 17:00:00,Vitesse du vent,Vitesse du vent,m/s,0.55
2025-12-13 17:00:00,Direction du vent,Direction du vent,Deg,89.4
2025-12-13 17:00:00,Température,Température,°c,16.6
2025-12-13 17:00:00,Humidité relative,Humidité relative,%,69.2
2025-12-13 17:00:00,Point de Rosée,Point de Rosée,°c,11.0
2025-12-13 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-13 17:00:00,Pression atmosphérique,Pression atmosphérique,hPa,991.5
2025-12-13 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 17:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 15:00:00,Vitesse du vent,Vitesse du vent,m/s,0.64
2025-12-13 15:00:00,Direction du vent,Direction du vent,Deg,84.5
2025-12-13 15:00:00,Température,Température,°c,18.5
2025-12-13 15:00:00,Humidité relative,Humidité relative,%,60.9
2025-12-13 15:00:00,Point de Rosée,Point de Rosée,°c,10.8
2025-12-13 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,84.0
2025-12-13 15:00:00,Pression atmosphérique,Pression atmosphérique,hPa,990.9
2025-12-13 15:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 15:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 13:00:00,Vitesse du vent,Vitesse du vent,m/s,2.75
2025-12-13 13:00:00,Direction du vent,Direction du vent,Deg,141.9
2025-12-13 13:00:00,Température,Température,°c,18.4
2025-12-13 13:00:00,Humidité relative,Humidité relative,%,66.0
2025-12-13 13:00:00,Point de Rosée,Point de Rosée,°c,12.0
2025-12-13 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,477.0
2025-12-13 13:00:00,Pression atmosphérique,Pression atmosphérique,hPa,991.5
2025-12-13 13:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 13:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 11:00:00,Vitesse du vent,Vitesse du vent,m/s,1.35
2025-12-13 11:00:00,Direction du vent,Direction du vent,Deg,155.6
2025-12-13 11:00:00,Température,Température,°c,17.2
2025-12-13 11:00:00,Humidité relative,Humidité relative,%,69.5
2025-12-13 11:00:00,Point de Rosée,Point de Rosée,°c,11.6
2025-12-13 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,507.0
2025-12-13 11:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.4
2025-12-13 11:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 11:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 09:00:00,Point de Rosée,Point de Rosée,°c,12.5
2025-12-13 09:00:00,Vitesse du vent,Vitesse du vent,m/s,0.79
2025-12-13 09:00:00,Direction du vent,Direction du vent,Deg,149.7
2025-12-13 09:00:00,Température,Température,°c,13.8
2025-12-13 09:00:00,Humidité relative,Humidité relative,%,92.1
2025-12-13 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,189.0
2025-12-13 09:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.3
2025-12-13 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 09:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.25
2025-12-13 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 07:00:00,Pression atmosphérique,Pression atmosphérique,hPa,990.6
2025-12-13 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-13 07:00:00,Point de Rosée,Point de Rosée,°c,11.0
2025-12-13 07:00:00,Humidité relative,Humidité relative,%,95.3
2025-12-13 07:00:00,Température,Température,°c,11.8
2025-12-13 07:00:00,Direction du vent,Direction du vent,Deg,281.6
2025-12-13 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 05:00:00,Vitesse du vent,Vitesse du vent,m/s,1.18
2025-12-13 05:00:00,Direction du vent,Direction du vent,Deg,285.3
2025-12-13 05:00:00,Température,Température,°c,12.7
2025-12-13 05:00:00,Humidité relative,Humidité relative,%,91.7
2025-12-13 05:00:00,Point de Rosée,Point de Rosée,°c,11.4
2025-12-13 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-13 05:00:00,Pression atmosphérique,Pression atmosphérique,hPa,989.7
2025-12-13 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 03:00:00,Pression atmosphérique,Pression atmosphérique,hPa,989.9
2025-12-13 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-13 03:00:00,Point de Rosée,Point de Rosée,°c,12.4
2025-12-13 03:00:00,Humidité relative,Humidité relative,%,94.5
2025-12-13 03:00:00,Température,Température,°c,13.3
2025-12-13 03:00:00,Direction du vent,Direction du vent,Deg,262.9
2025-12-13 03:00:00,Vitesse du vent,Vitesse du vent,m/s,0.83
2025-12-13 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 01:00:00,Pression atmosphérique,Pression atmosphérique,hPa,989.6
2025-12-13 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-13 01:00:00,Point de Rosée,Point de Rosée,°c,12.4
2025-12-13 01:00:00,Humidité relative,Humidité relative,%,94.4
2025-12-13 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 01:00:00,Température,Température,°c,13.3
2025-12-13 01:00:00,Direction du vent,Direction du vent,Deg,270.9
2025-12-13 01:00:00,Vitesse du vent,Vitesse du vent,m/s,0.48
2025-12-12 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-12 23:00:00,Vitesse du vent,Vitesse du vent,m/s,0.21
2025-12-12 23:00:00,Direction du vent,Direction du vent,Deg,317.1
2025-12-12 23:00:00,Température,Température,°c,13.4
2025-12-12 23:00:00,Humidité relative,Humidité relative,%,98.0
2025-12-12 23:00:00,Point de Rosée,Point de Rosée,°c,13.1
2025-12-12 23:00:00,Pression atmosphérique,Pression atmosphérique,hPa,989.9
2025-12-12 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-12 23:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.06
2025-12-12 21:00:00,Vitesse du vent,Vitesse du vent,m/s,0.75
2025-12-12 21:00:00,Pression atmosphérique,Pression atmosphérique,hPa,989.3
2025-12-12 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-12 21:00:00,Point de Rosée,Point de Rosée,°c,11.2
2025-12-12 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.06
2025-12-12 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-12 21:00:00,Humidité relative,Humidité relative,%,84.5
2025-12-12 21:00:00,Température,Température,°c,13.8
2025-12-12 21:00:00,Direction du vent,Direction du vent,Deg,331.4
2025-12-12 19:00:00,Direction du vent,Direction du vent,Deg,109.2
2025-12-12 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.06
2025-12-12 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-12 19:00:00,Pression atmosphérique,Pression atmosphérique,hPa,988.5
2025-12-12 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-12 19:00:00,Point de Rosée,Point de Rosée,°c,9.2
2025-12-12 19:00:00,Humidité relative,Humidité relative,%,70.4
2025-12-12 19:00:00,Température,Température,°c,14.6
2025-12-12 19:00:00,Vitesse du vent,Vitesse du vent,m/s,0.42
2025-12-12 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,4.0
2025-12-12 17:00:00,Vitesse du vent,Vitesse du vent,m/s,1.27
2025-12-12 17:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.06
2025-12-12 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-12 17:00:00,Pression atmosphérique,Pression atmosphérique,hPa,987.4
2025-12-12 17:00:00,Point de Rosée,Point de Rosée,°c,9.2
2025-12-12 17:00:00,Humidité relative,Humidité relative,%,65.1
2025-12-12 17:00:00,Température,Température,°c,15.8
2025-12-12 17:00:00,Direction du vent,Direction du vent,Deg,154.9
